Sýra;Fransýzca Kelime;Ýsveççe Anlamý;Türkçe Anlamý
1;lier;binda (ihop), knyta (ihop);baðlamak
1;un lien;"en länk; ett samband";
1;relier;förbinda;
1;une liaison;"en förbindelse; en kärleksaffär";
1;lié;(ihop)bunden;
2;obliger;tvinga;zorunda býrakmak, mecbur etmek
2;une obligation;en skyldighet;
2;obligé;tvungen;
2;obligatoire;obligatorisk;
2;obligatoirement;obligatoriskt;
3;craindre;frukta;korkmak
3;une crainte;en fruktan;
4;un âge;en ålder;yaþ
4;âgé;gammal;
5;déclarer;"deklarera; uppge";"beyan etmek; bildirmek"
5;une déclaration;en deklaration;
5;un déclarant;en deklarant, en uppgiftslämnare;
6;oublier;glömma;unutmak
6;l'oubli;glömska;
7;quitter;"lämna; gå ifrån";terk etmek, ayrýlmak
8;un bout;"en ände; en bit";uç, parça
8;aboutir;mynna ut;
8;un aboutissement;ett (slut)resultat;
9;une population;en befolkning;nüfus
9;populaire;"folklig, folk-; populär; lättfattlig";
9;la popularité;popularitet;
9;populiste;populistiskt;
9;un, une populiste;en populist;
9;impopulaire;impopulär;
10;responsable;ansvarig;sorumlu
10;un, une responsable;en ansvarig (person);
10;une responsabilité;ett ansvar;
10;irresponsable;oansvarig;
11;une route;en (lands)väg;yol
11;routier;väg-;
11;un routier;en långtradarchaufför;
11;une autoroute;en motorväg;
11;une déroute;ett nederlag;
11;dérouter;"dirigera om; vilseleda";
12;tôt;tidigt;erken
12;bientôt;snart;
12;aussitôt;"strax; så snart";
12;tantôt;"i eftermiddags; tidigare; snart";
12;sitôt;"(så snart); genast";
13;lancer;"kasta; spruta ut";fýrlatmak, atmak
13;un lancer;ett kast;
13;un lancement;en lansering;
13;relancer;"slänga tillbaka; ge ny fart åt";
13;une relance;"ett uppsving; en påminnelse";
13;une lance;ett spjut;
13;une lancée;"en start; en lansering";
13;un lanceur;en kastare;
14;une limite;en gräns;sýnýr, limit
14;limiter;begränsa;
14;une limitation;en begränsning;
14;délimiter;avgränsa;
14;illimité;obegränsad;
15;une fonction;en funktion;iþlev, fonksiyon
15;fonctionner;fungera;
15;un fonctionnement;en funktion, ett funktionssätt;
15;un, une fonctionnaire;en statligt anställd tjänsteman;
15;fonctionnel;funktionell, ändamålsenlig;
15;un dysfonctionnement;en dysfunktion;
