Kelime,Türkçe Anlamý,V1 (Yalýn Hali),V2 (Geçmiþ Zaman),V3 (Sýfat Fiil)
a, an,belgisiz harf,-,-,-
ability,yetenek,-,-,-
able,yapabilen,-,-,-
about,hakkýnda,-,-,-
above,yukarýsýnda,-,-,-
abroad,yurtdýþý,-,-,-
absolute,kesin,-,-,-
absolutely,kesinlikle,-,-,-
academic,akademik,-,-,-
accept,kabul etmek,accept,accepted,accepted
acceptable,kabul edilebilir,-,-,-
access,eriþim / eriþmek,access,accessed,accessed
accident,kaza,-,-,-
accommodation,konaklama,-,-,-
accompany,eþlik etmek,accompany,accompanied,accompanied
according to,göre,-,-,-
"account,""hesap / hesaba katmak, açýklamak"",account,accounted,accounted"
"accurate,""doðru, kesin"",-,-,-"
accuse,suçlamak,accuse,accused,accused
achieve,baþarmak,achieve,achieved,achieved
achievement,baþarý,-,-,-
acknowledge,kabul etmek,acknowledge,acknowledged,acknowledged
acquire,elde etmek,acquire,acquired,acquired
across,karþýsýnda,-,-,-
"act,""davranmak, eylem"",act,acted,acted"
action,aksiyon,-,-,-
active,aktif,-,-,-
activity,aktivite,-,-,-
actor,erkek oyuncu,-,-,-
actress,kadýn oyuncu,-,-,-
actual,gerçek,-,-,-
actually,aslýnda,-,-,-
ad,reklam,-,-,-
adapt,uyum saðlamak,adapt,adapted,adapted
add,eklemek,add,added,added
addition,ekleme,-,-,-
"additional,""ek, ilave"",-,-,-"
"address,""adres, hitap etmek"",address,addressed,addressed"
"administration,""yönetim, idare"",-,-,-"
admire,hayran olmak,admire,admired,admired
"admit,""kabul etmek, itiraf etmek"",admit,admitted,admitted"
"adopt,""benimsemek, evlat edinmek"",adopt,adopted,adopted"
adult,yetiþkin,-,-,-
"advance,""ilerleme, ilerlemek"",advance,advanced,advanced"
advanced,ileri düzey,-,-,-
advantage,avantaj,-,-,-
adventure,macera,-,-,-
advertise,reklamýný yapmak,advertise,advertised,advertised
advertisement,reklam,-,-,-
advertising,reklamcýlýk,-,-,-
"advice,""öðüt, tavsiye"",-,-,-"
advise,tavsiye etmek,advise,advised,advised
"affair,""olay, iliþki"",-,-,-"
affect,etkilemek,affect,affected,affected
afford,gücü yetmek,afford,afforded,afforded
afraid,korkmuþ,-,-,-
after,sonra,-,-,-
afternoon,öðleden sonra,-,-,-
afterwards,daha sonra,-,-,-
again,tekrar,-,-,-
against,karþý,-,-,-
"age,""yaþ, yaþlanmak"",age,aged,aged"
aged,yaþlý,-,-,-
agency,ajans,-,-,-
agenda,gündem,-,-,-
"agent,""acente, ajan"",-,-,-"
aggressive,saldýrgan,-,-,-
ago,önce,-,-,-
agree,ayný fikirde olmak,agree,agreed,agreed
agreement,anlaþma,-,-,-
ah,ah,-,-,-
ahead,ileride,-,-,-
aid,yardým,aid,aided,aided
"aim,""hedeflemek, amaç"",aim,aimed,aimed"
air,hava,-,-,-
aircraft,uçak,-,-,-
airline,havayolu,-,-,-
airport,havaalaný,-,-,-
alarm,alarm,alarm,alarmed,alarmed
album,albüm,-,-,-
alcohol,alkol,-,-,-
alcoholic,alkollü,-,-,-
"alive,""canlý, hayatta"",-,-,-"
"all,""tüm, hepsi"",-,-,-"
